treatmentgroup,replicate,period,color,treatment,level,headRFP,headGFP,bodyRFP,bodyGFP,gaster,other,antenna,head,selfG,groomIn,groomOut,totGroomIn,totGroomOut,groomToR,groomToG,groomToT,rankGroomInGeneral,rankGroomInParticular,rankGroomOutGeneral,rankGroomOutParticular,
LTx,7,PRE,orange,R,L,14000,0,32000,0,0.0,0.0,0.021544114998,0.113016536369,0.0047195302086,0.00637676982383,0.0,0.0110963000324,0.0047195302086,0.0047195302086,0.0,0.0,4.0,2.0,5.0,2.0,
LTx,7,PRE,red,N,X,0,0,0,0,0.0,0.0,0.0175811507007,0.19883272688,0.0388010231653,0.040782505314,0.0902475051338,0.0795835284793,0.129048528299,0.0,0.0,0.0766653456786,2.0,1.0,2.0,2.0,
LTx,7,PRE,purple,N,X,0,0,0,0,0.00637676982383,0.0,0.0375040530317,0.12238354289,0.00886262924668,0.0135821594553,0.0,0.0224447887019,0.00886262924668,0.0,0.0,0.0,3.0,2.0,4.0,3.0,
LTx,7,PRE,blue,T,X,0,0,0,0,0.0138343480924,0.0,0.00500774579385,0.0502215657312,0.015131318226,0.119753575675,0.0,0.134884893901,0.015131318226,0.0,0.0,0.015131318226,1.0,1.0,3.0,1.0,
LTx,7,PRE,green,N,X,5050,0,0,0,0.0,0.0,0.000792592859459,0.0130417552329,0.0,0.0,0.0902475051338,0.0,0.0902475051338,0.00637676982383,0.0,0.043088229996,5.0,3.0,1.0,1.0,
LTx,7,POST,yellow,N,X,0,0,0,0,0.0101541608646,0.0,0.0164265733404,0.290379425501,0.00870004559514,0.00522495656139,0.0477763127087,0.0139250021565,0.0564763583039,0.00653119570173,0.0,0.0123599797903,4.0,2.0,4.0,4.0,
LTx,7,POST,orange,R,L,14000,0,32000,0,0.0172029230182,0.0,0.00483062021713,0.075663286054,0.0780785961626,0.132127321347,0.0,0.21020591751,0.0780785961626,0.0780785961626,0.0,0.0,2.0,2.0,6.0,2.0,
LTx,7,POST,red,N,X,0,0,0,0,0.0,0.0,0.0353916868969,0.167864052545,0.0174493832333,0.000271106236676,0.0847946370257,0.01772048947,0.102244020259,0.017412414201,0.0,0.0578688585195,6.0,4.0,3.0,3.0,
LTx,7,POST,purple,N,X,0,0,0,0,0.00252621720539,0.0,0.0237464417306,0.15672405082,0.0068639169922,0.0381027492637,0.090278376813,0.0449666662559,0.0971422938052,0.0360694524886,0.0,0.0542089243244,3.0,1.0,2.0,2.0,
LTx,7,POST,blue,T,X,0,0,0,0,0.0170427238783,0.0,0.00409123957165,0.0867416727255,0.0101295148431,0.180026864163,0.00644493462643,0.190156379007,0.0165744494695,0.00168825247384,0.0,0.0101295148431,1.0,1.0,5.0,1.0,
LTx,7,POST,green,N,X,5050,0,0,0,0.00174986752763,0.0,0.00295752258192,0.0517936142158,0.00844126236922,0.000480597419562,0.126939333818,0.00892185978878,0.135380596187,0.0704260064819,0.0,0.0555891015293,5.0,3.0,1.0,1.0,
LTx,8,PRE,yellow,N,X,6850,0,0,0,0.0197517539126,0.0,0.0229177909696,0.221118906278,0.0250764525994,0.0124123043713,0.0574203993524,0.0374887569707,0.0824968519518,0.0,0.0,0.0,6.0,4.0,5.0,3.0,
