"treat","rep","color","strain","dose","spores"
"TxTx",5,"yellow","N","X",0
"TxTx",5,"orange","N","X",0
"TxTx",5,"red","N","X",0
"TxTx",5,"purple","N","X",0
"TxTx",5,"blue","T","X",0
"TxTx",5,"green","T","X",0
"TxTx",6,"yellow","N","X",0
"TxTx",6,"orange","N","X",0
"TxTx",6,"red","T","X",0
"TxTx",6,"purple","N","X",0
"TxTx",6,"blue","N","X",0
"TxTx",6,"green","T","X",0
"TxTx",7,"yellow","N","X",0
"TxTx",7,"orange","N","X",0
"TxTx",7,"red","N","X",0
"TxTx",7,"purple","T","X",0
"TxTx",7,"blue","N","X",0
"TxTx",7,"green","T","X",0
"TxTx",8,"yellow","T","X",0
"TxTx",8,"orange","N","X",0
"TxTx",8,"red","N","X",0
"TxTx",8,"purple","T","X",0
"TxTx",8,"blue","N","X",0
"TxTx",8,"green","N","X",0
"TxTx",9,"yellow","N","X",0
"TxTx",9,"orange","N","X",0
"TxTx",9,"red","N","X",0
"TxTx",9,"purple","N","X",0
"TxTx",9,"blue","T","X",0
"TxTx",9,"green","T","X",0
"TxTx",10,"yellow","N","X",0
"TxTx",10,"orange","T","X",0
"TxTx",10,"red","N","X",0
"TxTx",10,"purple","T","X",0
"TxTx",10,"blue","N","X",0
"TxTx",10,"green","N","X",0
"TxTx",11,"yellow","T","X",0
"TxTx",11,"orange","N","X",0
"TxTx",11,"red","N","X",0
"TxTx",11,"purple","N","X",0
"TxTx",11,"blue","T","X",0
"TxTx",11,"green","N","X",0
"TxTx",12,"yellow","N","X",0
"TxTx",12,"orange","N","X",0
"TxTx",12,"red","N","X",0
"TxTx",12,"purple","T","X",0
"TxTx",12,"blue","N","X",0
"TxTx",12,"green","T","X",0
"TxTx",13,"yellow","N","X",0
"TxTx",13,"orange","T","X",0
"TxTx",13,"red","N","X",0
"TxTx",13,"purple","T","X",0
"TxTx",13,"blue","N","X",0
"TxTx",13,"green","N","X",0
"TxTx",14,"yellow","T","X",0
"TxTx",14,"orange","N","X",0
"TxTx",14,"red","T","X",0
"TxTx",14,"purple","N","X",0
"TxTx",14,"blue","N","X",0
"TxTx",14,"green","N","X",0
"TxTx",15,"yellow","N","X",0
"TxTx",15,"orange","T","X",0
"TxTx",15,"red","N","X",0
"TxTx",15,"purple","N","X",0
"TxTx",15,"blue","T","X",0
"TxTx",15,"green","N","X",0
"TxTx",17,"yellow","N","X",0
"TxTx",17,"orange","N","X",0
"TxTx",17,"red","T","X",0
"TxTx",17,"purple","T","X",0
"TxTx",17,"blue","N","X",0
"TxTx",17,"green","N","X",0
"TxTx",18,"yellow","N","X",0
"TxTx",18,"orange","N","X",0
"TxTx",18,"red","N","X",0
"TxTx",18,"purple","T","X",0
"TxTx",18,"blue","T","X",0
"TxTx",18,"green","N","X",0
"LL",1,"yellow","N","X",0
"LL",1,"orange","G","L",71670.975053
"LL",1,"red","N","X",0
"LL",1,"purple","N","X",0
"LL",1,"blue","R","L",111249.170873
"LL",1,"green","N","X",0
"LL",2,"yellow","G","L",77398.874485
"LL",2,"orange","N","X",0
"LL",2,"red","N","X",0
"LL",2,"purple","N","X",0
"LL",2,"blue","R","L",73773.623544
"LL",2,"green","N","X",0
"LL",3,"yellow","N","X",0
"LL",3,"orange","N","X",0
"LL",3,"red","N","X",0
"LL",3,"purple","R","L",148023.355133
"LL",3,"blue","N","X",0
"LL",3,"green","G","L",144234.661212
"LL",4,"yellow","N","X",0
"LL",4,"orange","N","X",0
"LL",4,"red","N","X",0
"LL",4,"purple","N","X",0
"LL",4,"blue","R","L",36609.616067
"LL",4,"green","G","L",56902.187263
"LL",5,"yellow","N","X",0
"LL",5,"orange","N","X",0
"LL",5,"red","R","L",43004.537915
"LL",5,"purple","N","X",0
"LL",5,"blue","G","L",115218.936966
"LL",5,"green","N","X",0
"LL",6,"yellow","N","X",0
"LL",6,"orange","N","X",0
"LL",6,"red","N","X",0
"LL",6,"purple","G","L",158344.136269
"LL",6,"blue","N","X",0
"LL",6,"green","R","L",80367.055
"LL",7,"yellow","N","X",0
"LL",7,"orange","N","X",0
"LL",7,"red","N","X",0
"LL",7,"purple","R","L",136734.530609
"LL",7,"blue","G","L",164453.396696
"LL",7,"green","N","X",0
"LL",8,"yellow","N","X",0
"LL",8,"orange","N","X",0
"LL",8,"red","G","L",90845.486608
"LL",8,"purple","R","L",65846.587531
"LL",8,"blue","N","X",0
"LL",8,"green","N","X",0
"LL",9,"yellow","N","X",0
"LL",9,"orange","N","X",0
"LL",9,"red","G","L",176077.813136
"LL",9,"purple","N","X",0
"LL",9,"blue","N","X",0
"LL",9,"green","R","L",162732.803988
"LL",10,"yellow","R","L",84764.611964
"LL",10,"orange","G","L",46958.487042
"LL",10,"red","N","X",0
"LL",10,"purple","N","X",0
"LL",10,"blue","N","X",0
"LL",10,"green","N","X",0
"LL",12,"yellow","N","X",0
"LL",12,"orange","N","X",0
"LL",12,"red","N","X",0
"LL",12,"purple","G","L",211856.504047
"LL",12,"blue","R","L",68841.548005
"LL",12,"green","N","X",0
"LL",13,"yellow","N","X",0
"LL",13,"orange","N","X",0
"LL",13,"red","R","L",86579.464568
"LL",13,"purple","N","X",0
"LL",13,"blue","N","X",0
"LL",13,"green","G","L",141976.520763
"LL",14,"yellow","N","X",0
"LL",14,"orange","R","L",43507.417766
"LL",14,"red","N","X",0
"LL",14,"purple","N","X",0
"LL",14,"blue","N","X",0
"LL",14,"green","G","L",122154.408576
"LL",15,"yellow","N","X",0
"LL",15,"orange","N","X",0
"LL",15,"red","N","X",0
"LL",15,"purple","R","L",154745.850128
"LL",15,"blue","N","X",0
"LL",15,"green","G","L",81775.781972
"LL",17,"yellow","N","X",0
"LL",17,"orange","R","L",174079.31411
"LL",17,"red","N","X",0
"LL",17,"purple","G","L",247085.958518
"LL",17,"blue","N","X",0
"LL",17,"green","N","X",0
"LL",18,"yellow","N","X",0
"LL",18,"orange","G","L",140419.393462
"LL",18,"red","N","X",0
"LL",18,"purple","R","L",88908.225533
"LL",18,"blue","N","X",0
"LL",18,"green","N","X",0
"LTx",1,"yellow","T","X",0
"LTx",1,"orange","N","X",0
"LTx",1,"red","G","L",153620.45675
"LTx",1,"purple","N","X",0
"LTx",1,"blue","N","X",0
"LTx",1,"green","N","X",0
"LTx",2,"yellow","N","X",0
"LTx",2,"orange","N","X",0
"LTx",2,"red","N","X",0
"LTx",2,"purple","N","X",0
"LTx",2,"blue","T","X",0
