Replicate,Dish,Colour,part,ch1,ch2
8,I,purple,body,0,0
8,I,red,head,0,0
8,I,red,body,0,0
8,I,yellow,head,0,0
8,I,yellow,body,0,0
8,II,blue,head,0,0
8,II,blue,body,0,0
8,II,green,head,0,250
8,II,green,body,0,0
8,II,orange,head,6475,1575
8,II,orange,body,0,0
8,II,purple,head,225,900
8,II,purple,body,0,225
8,II,red,head,2900,11750
8,II,red,body,0,2325
8,II,yellow,head,12175,2725
8,II,yellow,body,12950,275
8,III,blue,head,600,1425
8,III,blue,body,0,0
8,III,green,head,0,575
8,III,green,body,0,0
8,III,orange,head,775,300
8,III,orange,body,0,0
8,III,purple,head,9000,0
8,III,purple,body,7725,0
8,III,red,head,0,425
8,III,red,body,0,7375
8,III,yellow,head,5100,425
8,III,yellow,body,0,0
8,IV,blue,head,0,5075
8,IV,blue,body,0,0
8,IV,green,head,0,0
8,IV,green,body,0,0
8,IV,orange,head,0,775
8,IV,orange,body,0,50000
8,IV,purple,head,0,2225
8,IV,purple,body,0,0
8,IV,red,head,0,1475
8,IV,red,body,0,0
8,IV,yellow,head,0,0
8,IV,yellow,body,0,0
8,V,blue,head,975,600
8,V,blue,body,0,0
8,V,green,head,3125,2900
8,V,green,body,0,0
8,V,orange,head,0,3025
8,V,orange,body,200,60750
8,V,purple,head,475,350
8,V,purple,body,0,350
8,V,red,head,7500,450
8,V,red,body,8650,0
8,V,yellow,head,11050,4800
8,V,yellow,body,0,0
8,VI,blue,head,725,0
8,VI,blue,body,0,0
8,VI,green,head,2800,0
8,VI,green,body,6800,0
8,VI,orange,head,0,0
8,VI,orange,body,0,0
8,VI,purple,head,0,0
8,VI,purple,body,0,0
8,VI,red,head,2925,0
8,VI,red,body,0,0
8,VI,yellow,head,6850,0
8,VI,yellow,body,0,0
9,I,blue,head,0,0
9,I,blue,body,0,0
9,I,green,head,0,1625
9,I,green,body,0,0
9,I,orange,head,0,30200
9,I,orange,body,0,0
9,I,purple,head,0,34325
9,I,purple,body,0,17725
9,I,red,head,0,0
9,I,red,body,0,0
9,I,yellow,head,0,0
9,I,yellow,body,0,0
9,II,blue,head,0,17525
9,II,blue,body,0,0
9,II,green,head,450,0
9,II,green,body,0,0
9,II,orange,head,0,19900
9,II,orange,body,0,39075
9,II,purple,head,675,0
9,II,purple,body,0,0
9,II,red,head,1525,0
9,II,red,body,11350,0
9,II,yellow,head,0,0
9,II,yellow,body,0,0
9,III,blue,head,6150,3425
9,III,blue,body,0,0
9,III,green,head,1600,0
9,III,green,body,11450,0
9,III,orange,head,4750,2600
9,III,orange,body,0,0
9,III,purple,head,0,8500
9,III,purple,body,0,0
9,III,red,head,0,4225
9,III,red,body,0,18525
9,III,yellow,head,250,425
9,III,yellow,body,0,0
9,IV,blue,head,0,0
9,IV,blue,body,0,0
9,IV,green,head,4050,0
9,IV,green,body,0,0
9,IV,orange,head,7050,0
9,IV,orange,body,0,0
9,IV,purple,head,13825,0
9,IV,purple,body,40000,0
9,IV,red,head,7250,5775
9,IV,red,body,0,0
9,IV,yellow,head,0,7325
9,IV,yellow,body,0,51325
9,V,blue,head,0,450
9,V,blue,body,0,0
9,V,green,head,0,17375
9,V,green,body,0,0
9,V,orange,head,0,5350
9,V,orange,body,0,0
9,V,purple,head,0,4775
9,V,purple,body,0,29425
9,V,red,head,0,12475
9,V,red,body,0,0
9,V,yellow,head,0,5025
9,V,yellow,body,0,0
9,VI,blue,head,0,0
9,VI,blue,body,0,0
9,VI,green,head,0,0
9,VI,green,body,0,0
9,VI,purple,head,0,0
9,VI,purple,body,0,0
9,VI,red,head,0,0
9,VI,red,body,0,0
9,VI,yellow,head,0,0
9,VI,yellow,body,0,0
10,I,blue,head,0,6525
10,I,blue,body,0,0
10,I,green,head,0,750
10,I,green,body,0,0
10,I,orange,head,0,1250
10,I,orange,body,0,0
10,I,purple,head,0,0
10,I,purple,body,0,0
10,I,red,head,0,39250
10,I,red,body,0,11425
10,I,yellow,head,0,8400
10,I,yellow,body,0,0
10,II,blue,head,0,0
10,II,blue,body,0,0
10,II,green,head,0,0
10,II,green,body,0,0
10,II,orange,head,0,0
10,II,orange,body,0,0
10,II,purple,head,0,0
10,II,purple,body,0,0
10,II,red,head,0,0
10,II,red,body,0,0
10,II,yellow,head,0,0
10,II,yellow,body,0,0
10,III,blue,head,725,1075
10,III,blue,body,0,0
10,III,green,head,300,225
10,III,green,body,0,0
10,III,orange,head,0,375
10,III,orange,body,0,1175
10,III,purple,head,0,0
10,III,purple,body,0,0
10,III,red,head,0,0
10,III,red,body,0,0
10,III,yellow,head,200,0
10,III,yellow,body,925,0
10,IV,blue,head,0,0
10,IV,blue,body,0,0
10,IV,green,head,0,0
10,IV,green,body,0,0
10,IV,orange,head,0,0
10,IV,orange,body,0,0
10,IV,purple,head,0,0
10,IV,purple,body,0,0
10,IV,red,head,0,9550
10,IV,red,body,0,0
10,IV,yellow,head,0,0
10,IV,yellow,body,0,850
10,V,blue,head,0,11300
10,V,blue,body,0,8150
10,V,green,head,4825,1375
10,V,green,body,0,0
10,V,orange,head,575,675
10,V,orange,body,0,0
10,V,purple,head,7525,0
10,V,purple,body,31250,0
10,V,red,head,1975,1175
10,V,red,body,0,0
10,V,yellow,head,375,0
10,V,yellow,body,0,0
10,VI,blue,head,11525,725
10,VI,blue,body,5725,0
10,VI,green,head,1625,15425
10,VI,green,body,0,30750
10,VI,orange,head,600,2175
10,VI,orange,body,0,0
10,VI,purple,head,14850,17575
10,VI,purple,body,0,0
10,VI,red,head,500,0
10,VI,red,body,0,0
10,VI,yellow,head,0,650
10,VI,yellow,body,0,250
11,I,blue,head,0,0
11,I,blue,body,0,0
11,I,green,head,2725,0
11,I,green,body,0,0
11,I,orange,head,4000,0
11,I,orange,body,28500,0
11,I,purple,head,6675,0
11,I,purple,body,0,0
11,I,red,head,175,0
11,I,red,body,0,0
11,I,yellow,head,950,0
11,I,yellow,body,0,0
11,II,blue,head,0,0
11,II,blue,body,0,0
11,II,green,head,0,0
11,II,green,body,0,0
11,II,orange,head,0,0
11,II,orange,body,0,0
11,II,purple,head,0,0
11,II,purple,body,0,0
11,II,red,head,0,0
11,II,red,body,0,0
11,II,yellow,head,0,0
11,II,yellow,body,0,0
12,I,blue,head,3725,0
12,I,blue,body,0,0
12,I,green,head,0,0
12,I,green,body,0,0
12,I,orange,head,8200,0
12,I,orange,body,0,0
12,I,purple,head,0,0
12,I,purple,body,0,0
12,I,red,head,5150,0
12,I,red,body,41950,0
12,I,yellow,head,0,0
12,I,yellow,body,0,0
